mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,f1,f2,f3,f4
osc,noise,100,300,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.6797719492540251,0.5552803964239267,9.820118151259837e-4,5.685548744758707e-4
osc,noise,100,300,100,50:50,100,50:50,FALSE,123,321,0.961356683384638,1.2129699278234244e-4,1.2554505886122303e-5,-3.779494437758058e-18
osc,noise,100,300,100,100,50:50,50:50,FALSE,123,321,0.9615114315468414,1.1495446546350017e-4,1.034715413966314e-5,-6.7989622876458954e-18
osc,seplow,100,300,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.6795253757406526,0.5550972358433278,0.005497872329032839,0.001627703954573276
osc,seplow,100,300,100,50:50,100,50:50,FALSE,123,321,0.9608250883226782,8.107697735870477e-4,6.018624945635613e-5,5.125275877051561e-18
osc,seplow,100,300,100,100,50:50,50:50,FALSE,123,321,0.9613323348485111,7.494913505877971e-4,3.904554769397086e-5,8.871268476101674e-20
osc,sephigh,100,300,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.6825737535878061,0.5550163011583578,0.03830406469054614,0.009338457175304415
osc,sephigh,100,300,100,50:50,100,50:50,FALSE,123,321,0.9641545341867445,0.014018434865394953,7.822716307329669e-4,8.90961841270769e-18
osc,sephigh,100,300,100,100,50:50,50:50,FALSE,123,321,0.9605307250801149,0.013509036888887146,5.61162554002042e-4,-2.371218853084764e-19
osc,noise,100,300,100,100,100,100,TRUE,123,321,6.448269685229921e-29,1.522644747358751e-44,-3.6637979724482455e-46,-3.274659123937656e-45
osc,seplow,100,300,100,100,100,100,TRUE,123,321,3.3729858435219035e-24,2.3509996298975344e-39,-4.428609534635506e-46,-5.87765191449872e-41
osc,sephigh,100,300,100,100,100,100,TRUE,123,321,4.103784966613754e-24,1.8807922704239044e-39,3.616941047838698e-41,-9.494709274487905e-41
